codigo_ine;tasa_crecimiento_pct
28001;1.5385
28002;2.2335
28003;-4.1475
28004;0.5800
28005;-1.4304
28006;0.2521
28007;0.1304
28008;1.9329
28009;0.8090
28010;1.1861
28011;-3.7217
28012;1.2500
28013;-0.4057
28014;-0.5079
28015;4.9579
28016;-1.0417
28017;0.8929
28018;0.7969
28019;-1.2308
28021;21.6828
28020;-1.9802
28022;2.0236
28023;0.9501
28024;-0.9852
28025;0.0000
28026;-0.2308
28027;-0.2145
28028;0.1267
28029;-1.9100
28030;-0.5439
28031;0.7589
28032;-1.1775
28033;0.5808
28034;-2.8017
28035;-3.4209
28036;1.1556
28037;-2.4079
28038;-0.4424
28039;-4.2683
28051;2.5950
28052;-2.6122
28040;0.3249
28041;0.3723
28046;-0.2425
28047;-0.7397
28043;-1.5488
28042;1.3035
28045;0.8802
28044;0.1231
28048;0.4484
28049;-2.7451
28050;1.6340
28053;0.6251
28054;0.1434
28055;-2.2963
28056;-0.4505
28057;0.1470
28058;-0.5170
28059;-0.5745
28060;-0.9212
28061;0.3406
28062;-4.3597
28063;-7.4074
28064;-2.8409
28065;0.9936
28066;0.2017
28067;-0.9439
28068;-0.3218
28069;0.0000
28070;-10.0629
28071;-2.2727
28072;1.0787
28073;0.7727
28074;0.1423
28075;2.1432
28076;-3.0303
28901;0.5819
28078;4.4444
28079;0.7495
28080;-0.0636
28082;0.9387
28083;1.1832
28084;-0.0087
28085;-0.9127
28086;2.8248
28087;0.5519
28088;-4.0107
28089;-1.2287
28090;1.3019
28091;1.2747
28092;-0.3146
28093;1.0508
28094;5.4122
28095;-1.5841
28096;1.0573
28097;-2.9412
28099;1.1796
28100;-1.3119
28101;-3.5503
28102;-2.7778
28104;3.6379
28106;-0.3159
28107;2.4809
28108;3.5098
28109;0.6517
28110;-2.5078
28111;1.2771
28112;-4.0000
28113;1.7715
28114;5.7143
28115;0.5097
28116;0.1867
28117;9.8361
28118;-9.5890
28902;-2.6398
28119;1.3454
28120;-2.7027
28121;0.7722
28122;-2.5460
28123;1.5244
28124;-1.0000
28125;1.1631
28126;-6.2500
28127;1.0169
28128;1.9120
28129;-0.9244
28130;-0.2314
28131;-0.8411
28132;-0.5362
28133;-1.4061
28134;1.4857
28135;-1.8349
28136;0.2356
28137;1.9255
28138;-10.4651
28140;-0.1002
28141;0.0337
28143;5.4795
28144;0.3193
28145;2.3732
28146;1.3540
28147;1.9449
28148;0.0370
28149;3.4173
28150;0.4498
28151;-1.9006
28152;0.0260
28153;-4.4304
28154;-1.3711
28903;3.3596
28155;0.3130
28156;-3.0324
28157;0.4779
28158;-1.1931
28159;-0.8906
28160;-0.0411
28161;0.1839
28162;2.5099
28163;1.4134
28164;0.6141
28165;-3.1360
28166;-2.4943
28167;-1.2922
28168;2.3849
28169;1.1552
28171;-1.8553
28170;-1.6153
28172;2.9795
28173;-2.0833
28174;-1.1089
28175;3.2508
28176;1.8753
28178;3.1228
28177;0.9109
28179;-3.7415
28180;-0.3156
28181;0.7424
28182;-3.5714
28183;1.2290
