archivo,variables
V01_area_viaria.csv,"""pct_area_viaria"""
V02_pnc_subsidio_basico.csv,"""pnc_jubilacion_per_1000"", ""pnc_invalidez_per_1000"", ""pnc_total_per_1000"""
V03_densidad_poblacion.csv,"""densidad_poblacion_hab_km2"""
V04_tasa_crecimiento_poblacion.csv,"""tasa_crecimiento_pct"""
V05_clasificacion_urbano_rural.csv,"""clasificacion"""
V06_ratio_poblacion_area.csv,"""ratio_poblacion_area"""
V07_autonomia_financiera.csv,"""autonomia_financiera_pct"""
V08_residuos_domesticos_percapita.csv,"""residuos_kg_habitante"""
V09_generacion_aguas_residuales.csv,"""agua_suministrada_per_1000hab"""
V10_descarga_aguas_residuales.csv,"""agua_residual_per_1000hab"""
V12_carga_organica_generada.csv,"""carga_dbo5_t_anio"""
V14_pct_area_bosque.csv,"""area_forestal_km2"", ""area_arbolado_km2"""
V16_ratio_zona_verde_urbana.csv,"""pct_verde_urbano"", ""pct_forestal_osm"", ""pct_parque"""
V17_area_parques_percapita.csv,"""area_parque_m2_per_hab"""
V18_area_forestal_urbana_percapita.csv,"""area_verde_m2_per_hab"", ""area_forestal_m2_per_hab"""
V19_num_parques_per_1000hab.csv,"""parques_per_1000hab"""
V20_area_parque_urbano_per_1000hab.csv,"""area_parque_m2_per_1000hab"""
V23_zona_verde_fluvial.csv,"""pct_agua"", ""pct_humedal"", ""pct_ribera"""
